make,model,year,miles,exterior-color,interior-color,accidents-reported,num-of-owners,price
Honda,Odyssey,2015,124418,Gray,Gray,0,2,18998
Toyota,Camry,2020,43228,Silver,Black,0,1,20483
Audi,A6,2023,5801,Gray,Black,0,1,47998
Chevrolet,Silverado 1500,2016,93925,White,Black,0,2,26988
Ford,Explorer Sport Trac,2009,180254,Black,Black,0,7,7995
Lexus,IS,2017,51201,Gray,Black,0,4,25998
BMW,X3,2021,26725,Black,Black,0,1,28888
Mercedes-Benz,C-Class,2015,81970,White,Unknown,2,3,14495
Honda,Civic,2019,39515,Gray,Gray,1,1,19770
Honda,Odyssey,2019,49419,Silver,Brown,0,3,26581
Honda,Accord,2022,29649,Silver,Black,0,1,24799
Nissan,Altima,2014,129009,White,Black,1,2,8895
Subaru,Outback,2021,14417,Red,Gray,0,1,27998
Honda,Odyssey,2014,112998,Gray,Gray,1,2,15998
Genesis,G80,2022,19964,Silver,Black,0,1,37449
Ford,Focus,2014,105879,Red,White,1,3,7798
Chevrolet,Suburban,2015,225260,Black,Black,3,1,12999
Toyota,Corolla,2011,93687,Black,Gray,1,1,8500
Volkswagen,Tiguan,2019,47154,White,Gray,0,2,19998
Kia,Optima,2018,59244,White,Beige,1,2,12900
Lexus,RX,2023,25442,Black,Beige,0,1,47991
Subaru,Forester,2021,10044,Silver,Black,0,1,26986
Honda,Accord,2021,20810,Silver,Black,0,2,27998
Hyundai,Sonata,2012,109989,Black,Gray,0,3,11998
Jeep,Wrangler,2015,105409,White,Black,0,3,18999
Kia,Optima,2013,112562,Black,Beige,0,3,8495
Chevrolet,Camaro,2014,103796,Black,Black,0,1,9499
Ford,EcoSport,2018,49941,Red,Black,0,2,13977
Honda,Accord,2020,36197,Black,Black,1,2,22991
Ram,1500,2020,42603,Gray,Black,0,1,30998
Chevrolet,Trailblazer,2021,12301,White,Black,0,1,18200
Volkswagen,Tiguan,2020,39395,White,Black,0,1,18500
Mercedes-Benz,GLA,2018,79753,Black,Black,0,4,16500
Subaru,Outback,2021,19989,Green,Gray,0,2,25800
Kia,Forte,2021,26840,Gray,Black,0,1,17449
Toyota,Corolla,2022,4514,Gray,Gray,0,1,20683
FIAT,500,2014,82005,Silver,Black,1,4,6995
Toyota,Tacoma,2019,59252,Gray,Unknown,0,1,29995
Subaru,Outback,2023,4980,White,Beige,0,1,35900
Nissan,Maxima,2018,33292,Gray,Black,1,3,18450
Toyota,Tacoma,2022,36648,Black,Black,0,2,38900
BMW,3 Series,2018,44001,Black,Black,0,3,20999
Ford,F-150,2018,75393,Silver,Gray,0,1,33800
Mercedes-Benz,GLB,2021,19333,Black,Black,1,1,32094
Chevrolet,Equinox,2021,12663,White,Gray,0,1,20777
Mercedes-Benz,A-Class,2019,28010,Silver,Black,2,2,25440
Kia,Optima,2015,146100,Black,Beige,0,3,7500
Mercedes-Benz,GLB,2023,5791,Black,Black,0,1,42400
Ford,F-150,2020,111937,White,Blue,0,1,16975
BMW,3 Series,2020,42725,Black,Black,0,1,24198
Audi,Q5,2023,1581,Black,Black,0,1,37989
Nissan,Altima,2012,115439,Silver,Black,0,7,4395
INFINITI,QX55,2023,6869,Gray,Gray,0,1,37988
MINI,Countryman,2012,100025,Gray,Black,0,1,8995
Jeep,Cherokee,2020,63703,White,Black,0,2,18991
Kia,Sportage,2021,26871,Red,Gray,0,1,17800
Ford,Super Duty F-250,2020,93819,White,Gray,0,1,24985
Mazda,CX-9,2021,38324,Gray,Red,1,1,28691
Mercedes-Benz,GLE,2021,44380,Black,Black,0,1,43829
Mercedes-Benz,S-Class,2014,124184,White,Black,1,3,21777
Acura,MDX,2015,109270,White,Unknown,0,2,16998
Ford,F-150,2020,36590,Gray,Gray,0,1,33998
Mazda,CX-5,2022,6242,Red,Black,1,1,28891
Dodge,Charger,2019,71018,Black,Black,0,3,20959
Mazda,CX-5,2023,8470,Blue,Beige,0,1,32998
Audi,Q5,2020,13984,White,Beige,0,1,33888
Alfa,Romeo Stelvio,2022,68,White,Black,0,1,30460
Land,Rover Range Rover,2018,45880,Black,Gray,0,2,46999
Jeep,Wrangler,2019,47368,Black,Black,0,3,34998
INFINITI,Q50,2020,55039,Black,Gray,1,2,22597
Chevrolet,Cruze,2018,95458,Silver,Black,0,2,10995
Cadillac,XT4,2020,19490,White,Red,0,1,27995
Lexus,IS,2010,122850,Gray,Beige,0,3,12991
Honda,Civic,2022,51155,Gray,Black,0,1,22500
Subaru,Impreza,2019,35495,Black,Black,0,1,18999
Volkswagen,Jetta,2013,112519,Silver,Black,1,2,6950
Volkswagen,Jetta,2015,91736,Black,Black,1,4,8995
Subaru,Forester,2021,24454,Green,Gray,0,1,26555
Subaru,Forester,2023,6290,Silver,Black,0,1,33500
Nissan,Sentra,2021,9892,White,Black,0,1,20998
Toyota,Corolla,2021,80771,Blue,Black,1,1,17495
Alfa,Romeo Giulia,2022,46,White,Black,0,1,30542
Toyota,Corolla,2011,101056,White,Gray,0,2,9991
GMC,Acadia,2019,62813,Black,Black,1,1,19500
Toyota,RAV4,2020,43497,White,Black,0,1,24991
Toyota,Corolla,2021,9762,Gray,Black,1,1,22953
Toyota,RAV4,2021,40149,White,Black,0,1,30999
Toyota,RAV4,2021,27228,White,Black,0,2,26794
Mazda,Mazda3,2019,13488,Gray,Gray,0,1,23074
Subaru,Forester,2021,26650,Gray,Black,0,1,28649
Honda,Civic,2021,53505,Blue,Unknown,2,1,19995
Chevrolet,Silverado 1500 LTD,2022,41168,White,Black,0,1,22488
Mercedes-Benz,CLA,2023,4086,Black,Black,1,1,39777
Audi,RS 5,2015,57150,Black,Black,0,3,33919
Ford,Escape,2019,10838,Gray,Black,0,2,20445
Volkswagen,Routan,2010,135880,Black,Unknown,2,2,5995
Toyota,Sienna,2021,44459,Silver,Gray,1,1,37895
Buick,Encore,2019,21872,White,Gray,0,2,19998
BMW,X5,2020,68463,Blue,Black,0,2,43598
Alfa,Romeo Giulia,2022,51,Red,Black,0,1,30541
Porsche,Cayman,2006,70805,White,Unknown,0,2,26919
Chrysler,Town & Country,2016,51756,Silver,Black,2,2,18998
Toyota,RAV4,2021,23800,Red,Black,0,1,29333
Volkswagen,Tiguan,2020,34893,Black,Black,0,1,17994
Toyota,Corolla,2021,64606,Red,Black,0,1,15995
Toyota,Camry,2021,41792,Black,Black,0,1,27081
Toyota,Prius,2013,147350,Black,Black,0,1,11200
Mercedes-Benz,E-Class,2021,9624,Red,Beige,0,1,42892
Toyota,Corolla,2014,106575,Black,Gray,0,1,10999
Acura,RDX,2021,43115,Red,Black,0,1,31968
Ford,Escape,2017,114000,Gold,Black,1,2,8490
Audi,A3,2023,1529,Blue,Black,0,1,32995
Ram,1500,2020,25736,Black,Black,0,1,35998
Toyota,Prius v,2013,98042,Silver,Gray,1,1,11600
Ford,Explorer,2021,19369,Gray,Black,0,1,32998
Maserati,GranTurismo,2010,26107,Black,Black,2,3,28965
Toyota,RAV4,2018,54264,White,Black,2,1,19555
Jeep,Wrangler,2013,117038,Black,Black,0,2,20495
Honda,CR-V,2015,104728,White,Unknown,0,4,15891
Ford,Fiesta,2016,68742,Black,Black,0,3,7500
Chevrolet,Malibu,2022,35410,Gray,Gray,0,1,19998
BMW,X1,2021,14422,Gray,Black,0,2,26496
Chevrolet,Silverado 1500,2016,103207,White,Black,0,2,21995
Mercedes-Benz,GLC,2021,22734,Black,Black,1,1,31990
Chevrolet,Silverado 1500,2020,34545,Black,Black,0,1,37888
Lexus,ES,2022,14130,White,Black,0,1,35821
Ford,Escape,2017,76901,Black,Black,2,2,13499
Audi,A5,2023,1751,White,Black,0,1,46286
Mercedes-Benz,A-Class,2020,23107,Silver,Black,0,1,26510
Ford,Explorer,2021,17302,Black,Unknown,0,1,32998
Chevrolet,Malibu,2022,30824,Gray,Black,0,1,19999
Acura,MDX,2017,20095,White,Black,0,1,31998
Mercedes-Benz,S-Class,2015,54555,Blue,Gray,1,3,33998
Chevrolet,Trax,2020,21421,White,Black,1,2,19998
Dodge,Challenger,2019,54568,White,Black,0,1,21998
Chevrolet,Malibu,2022,36231,Silver,Black,0,1,19998
Volkswagen,Jetta,2014,90795,Black,Black,1,2,14998
Subaru,Outback,2021,18667,Black,Gray,0,1,27998
Chevrolet,Equinox,2013,50621,Gray,Gray,0,3,15998
Nissan,Versa,2021,61250,Gray,Gray,0,1,15891
Audi,Q7,2019,25687,Black,Black,2,1,33998
Toyota,Highlander,2021,24754,Gray,Black,0,1,32797
Subaru,Crosstrek,2024,5020,Black,Black,0,1,30998
BMW,5 Series,2019,41249,Black,Black,0,1,25999
Honda,Civic,2020,18548,White,Unknown,0,1,19995
Mercedes-Benz,C-Class,2021,29334,Black,Black,0,1,30592
Acura,MDX,2020,39968,White,Beige,0,1,26789
Nissan,Altima,2022,30074,Gray,Black,0,1,17799
Ford,Escape,2021,34484,White,Gray,0,2,16540
Mercedes-Benz,GLB,2023,8591,Gray,Black,0,1,37777
Toyota,Camry,2022,35848,Red,Gray,0,1,23993
Mercedes-Benz,CLA,2021,22778,Black,Black,0,1,26999
Mercedes-Benz,GLC,2019,23268,Blue,Unknown,1,3,32998
BMW,3 Series,2021,28852,White,Black,0,1,28999
Chevrolet,Malibu,2021,62149,Red,Black,0,1,18554
Toyota,RAV4,2021,38305,Black,Gray,0,1,25381
Hyundai,Genesis,2016,58912,Silver,Gray,0,1,18998
Audi,A4,2018,60428,Silver,Black,0,2,19399
Nissan,Altima,2020,58459,Gray,Black,1,4,19998
Mercedes-Benz,GLC,2021,9573,Gray,Gray,0,1,34421
Volkswagen,Tiguan,2020,23484,Gray,Black,0,1,19777
Chevrolet,Equinox,2016,41207,Black,Black,1,2,18998
BMW,X3,2022,40474,White,Unknown,0,1,30998
Audi,A3,2023,1350,Black,Black,0,1,33995
MINI,Countryman,2018,70844,Blue,Black,0,2,21998
Audi,A3,2023,2717,Black,Black,0,1,33500
Volkswagen,Jetta,2019,43481,White,Black,0,2,17998
Subaru,Forester,2021,46578,Blue,Gray,0,1,21388
Kia,Optima,2018,137615,Black,Black,1,2,8499
Subaru,Outback,2020,24615,Gray,Brown,0,1,29239
Honda,Pilot,2020,47973,Silver,Black,0,1,27500
Mercedes-Benz,GLE,2021,36225,Gray,Black,0,1,42997
Toyota,Tundra,2017,78171,Black,Gray,2,2,32998
Nissan,Murano,2018,94426,Silver,Gray,0,4,13987
Mazda,Mazda3,2020,26137,Red,Black,0,1,23333
Jaguar,F-PACE,2019,60812,White,Black,1,1,19349
Mercedes-Benz,S-Class,2007,94629,Unknown,Unknown,0,3,9999
Toyota,Corolla,2020,23460,White,Gray,0,1,20495
Honda,Civic,2018,84732,Black,Black,0,3,16500
Mercedes-Benz,GLB,2023,7111,Blue,Beige,0,1,41061
Mercedes-Benz,E-Class,2021,28450,Black,Black,0,1,37968
Chevrolet,Tahoe,2021,63335,Black,Black,0,1,41500
Hyundai,Tucson,2019,50496,Blue,Black,0,2,18998
Toyota,Corolla,2021,43589,Black,Gray,0,1,19693
Hyundai,Santa Fe,2020,27814,Silver,Black,0,1,20987
Toyota,Corolla,2021,64916,Black,Black,0,1,18694
Alfa,Romeo Stelvio,2022,88,Gray,Black,0,1,30459
Kia,Forte,2019,53113,Gray,Black,0,1,15695
Mercedes-Benz,C-Class,2015,132700,Gray,Unknown,0,4,12295
Acura,MDX,2020,18666,White,Black,0,1,29896
Chevrolet,Malibu,2020,80174,Silver,Black,1,2,14995
Land,Rover Discovery Sport,2016,86246,Black,Black,0,4,12995
Chevrolet,Tahoe,2016,96825,Black,Black,0,2,26987
Audi,A5,2023,3037,Black,Black,0,1,39232
BMW,X3,2021,29388,White,Black,0,1,29999
Honda,Civic,2020,16589,Silver,Black,0,1,20565
Mercedes-Benz,GLE,2021,29428,White,Black,1,1,39998
Honda,Pilot,2023,5562,Black,Black,0,1,50222
Audi,A4,2023,564,Black,Black,0,1,35500
Honda,Accord,2021,52184,Gray,Unknown,0,1,28485
Ford,Fusion,2012,98474,Blue,Gray,0,1,7995
Jeep,Wrangler,2018,52098,Black,Black,0,1,24910
Mercedes-Benz,GLC,2021,7234,White,Beige,0,1,31933
GMC,Yukon,2011,157099,Black,Black,0,3,9999
Toyota,Corolla,2020,28547,White,Black,0,1,20614
Nissan,Sentra,2023,766,Black,Black,0,1,20897
Audi,Q5,2013,115118,Gray,Black,1,3,11995
Mazda,Mazda6,2016,57157,Blue,Black,0,1,15995
Toyota,RAV4,2021,19768,Black,Gray,0,1,35999
BMW,3 Series,2016,50360,Black,Red,0,3,17450
Volkswagen,Jetta,2020,53724,White,Black,1,1,16790
Nissan,Kicks,2020,27213,Red,Black,0,2,16886
Honda,Civic,2019,31114,Black,Black,0,2,21998
Mazda,CX-5,2021,12662,Red,Black,0,1,26691
Ford,Explorer,2016,54407,Gray,Gray,1,2,23896
Mercedes-Benz,GLB,2023,7842,Black,Gray,0,1,39999
Kia,K5,2022,35452,White,Black,0,1,23000
Subaru,Forester,2014,103854,White,Gray,1,2,12495
Nissan,Sentra,2019,50110,White,Black,0,2,16998
Audi,Q5,2018,43865,Blue,Black,1,2,19992
Chevrolet,Cruze,2018,70218,Black,Black,1,1,13200
Mazda,CX-9,2015,81726,Gray,Black,0,2,16998
BMW,X3,2020,66846,Black,Black,0,1,20996
Ford,Fusion,2014,133890,Silver,Black,0,3,7495
Chevrolet,Traverse,2019,31111,Gray,Black,0,1,27999
Mercedes-Benz,SLC,2017,57090,Black,Red,1,3,22500
Toyota,RAV4,2021,25326,White,Black,1,1,27998
Kia,Sportage,2021,20863,Gray,Gray,0,1,18441
Dodge,Charger,2022,20507,Black,Black,0,1,24988
Alfa,Romeo Giulia,2022,55,Black,Black,0,1,30541
Honda,Accord,2021,35759,White,Beige,0,1,24899
Toyota,Camry,2019,64053,White,Black,1,2,21998
INFINITI,Q50,2014,31757,Gray,Gray,0,2,22998
Ford,Escape,2014,84574,Black,Black,1,2,13795
Chevrolet,Silverado 1500,2017,64185,White,Black,3,1,30300
Toyota,Camry,2021,25826,Blue,Black,0,1,20995
Nissan,Rogue,2020,87596,Gray,Black,0,3,12777
Mercedes-Benz,A-Class,2019,29934,Black,Black,0,1,25899
BMW,X3,2021,24094,Gray,Black,0,1,29456
Lexus,RX,2020,23942,Black,Unknown,0,1,35998
Toyota,RAV4,2021,18448,Black,Black,0,2,35998
Mazda,Mazda3,2016,37810,Blue,Black,0,2,18998
Hyundai,Santa Fe,2021,39099,Blue,Black,1,1,23998
Toyota,Tundra,2014,57738,Black,Brown,2,3,33998
BMW,X1,2018,55265,White,Black,1,2,21998
Lexus,ES,2021,21289,White,Unknown,0,1,37998
Audi,Q5,2021,40208,Black,Black,0,1,36998
Ford,F-150,2020,64447,Black,Gray,1,2,31998
Jeep,Wrangler,2018,56425,White,Black,0,1,21920
Mazda,CX-30,2022,29308,Gray,Black,0,1,24750
Alfa,Romeo Stelvio,2022,85,Black,Black,0,1,35488
Hyundai,Elantra,2017,104050,Gray,Gray,2,2,12998
Honda,Accord,2021,49141,White,Beige,0,1,26035
Chevrolet,Silverado 1500,2019,76920,Black,Black,1,2,31998
Ford,Fusion,2020,12733,White,Black,0,1,20995
Mercedes-Benz,GLE,2021,27163,Black,Black,0,1,41433
Honda,Civic,2021,41190,Gray,Black,0,1,21999
Kia,Forte,2021,9443,Red,Black,0,1,17995
Toyota,Sienna,2017,92197,Black,Gray,0,3,22998
Ford,Explorer,2016,91885,Black,Black,0,3,15995
Subaru,Outback,2017,51853,Blue,Brown,0,1,22158
BMW,3 Series,2017,59572,White,Brown,0,3,18999
Kia,Forte,2015,67246,Gray,Gray,1,1,9990
Toyota,RAV4,2021,33118,Silver,Black,0,1,28194
Hyundai,Elantra,2020,60791,Black,Gray,0,1,14088
Audi,Q7,2021,38785,Tan,Black,0,1,42998
Mercedes-Benz,S-Class,2019,48491,Silver,Black,0,1,49499
Mercedes-Benz,A-Class,2021,34576,Blue,Black,0,3,26510
Honda,Civic,2017,94751,White,Unknown,0,1,16998
Acura,MDX,2014,76699,Gray,Unknown,0,1,16449
Chevrolet,Equinox,2020,26267,White,Black,0,1,23777
Land,Rover Range Rover Evoque,2019,45704,White,Black,1,3,24499
Subaru,Ascent,2021,55635,Gray,Gray,0,1,24988
INFINITI,QX60,2018,63000,Gray,Brown,0,2,19988
Lexus,RX,2015,59705,Gray,Black,2,2,19999
BMW,2 Series,2016,97076,Gray,Red,1,2,12987
Volkswagen,Tiguan,2021,6994,White,Black,0,1,20894
Chevrolet,Silverado 1500,2020,67465,White,Black,1,1,31998
Ford,Escape,2009,96991,White,Unknown,0,2,7900
Jeep,Wrangler,2022,23799,White,Brown,0,1,42998
Mercedes-Benz,GLB,2021,21591,White,Black,0,1,30896
BMW,4 Series,2016,85987,Black,Black,0,2,19994
Volkswagen,Tiguan,2020,16789,Black,Gray,0,1,20777
Honda,Crosstour,2013,75935,Silver,Black,0,2,11798
Kia,Seltos,2021,43244,White,Black,0,1,20100
Jeep,Wrangler,2022,18815,White,Black,0,1,45271
Hyundai,Tucson,2022,18493,Black,Black,0,1,22500
Mercedes-Benz,GLC,2019,19494,Gray,Black,0,2,27998
BMW,3 Series,2011,93632,Gray,Gray,0,4,7500
Mercedes-Benz,GLA,2015,71278,Black,Beige,1,2,13987
Ford,F-150,2020,47109,Black,Black,1,1,31998
Ford,Fiesta,2015,85972,Black,Black,0,1,6900
Mercedes-Benz,C-Class,2020,25532,White,Black,0,2,47000
Chevrolet,Camaro,2020,80497,White,Black,1,3,30987
Kia,Forte,2022,29105,Gray,Black,1,1,16999
Lexus,NX,2021,34218,White,Beige,0,1,28250
Nissan,Sentra,2022,8554,White,Black,0,1,21988
Audi,A3,2023,2266,Black,Black,0,1,32995
Kia,K5,2022,18696,White,Black,0,1,26991
Mercedes-Benz,GLE,2021,22944,Blue,Black,0,1,47157
Audi,A3,2023,2521,Black,Black,0,1,32995
Kia,Soul,2020,66114,Gray,Black,0,1,13900
Audi,Q7,2019,26958,Gray,Beige,0,1,29998
Mercedes-Benz,C-Class,2019,37366,Black,Black,0,2,25262
Mercedes-Benz,GLB,2020,31656,Unknown,Black,0,1,27990
Kia,Optima,2020,71000,Gray,Black,0,1,16900
Chevrolet,Silverado 1500,2018,61608,Gray,Black,0,1,30549
Cadillac,XT4,2020,16804,Black,Black,0,1,27995
Mercedes-Benz,CLS,2019,23351,White,Black,0,1,43895
Toyota,Corolla,2010,151649,Black,Gray,1,3,5680
Subaru,Forester,2020,22828,Black,Gray,0,1,26500
Hyundai,Elantra,2018,40223,Silver,Gray,0,3,12999
Mercedes-Benz,GLC,2021,29755,Gray,Beige,0,1,29933
Nissan,Sentra,2020,18122,Blue,Black,0,1,18954
Toyota,Camry,2021,20182,Gray,Black,1,1,22995
Honda,Odyssey,2013,97773,Gray,Gray,0,1,17998
Mercedes-Benz,S-Class,2016,39327,Black,Black,1,2,48919
Hyundai,Sonata,2016,88567,Black,Black,0,1,15998
Volkswagen,Tiguan,2022,7139,White,Black,0,1,26399
Ford,Transit Cargo Van,2021,22280,White,Black,0,1,32998
Honda,Civic,2022,8100,White,Black,0,1,24991
Audi,A5,2020,39232,White,Black,2,1,33998
Nissan,Sentra,2019,37152,White,Black,0,1,13799
Ford,Escape,2020,63973,White,Beige,0,2,17495
MINI,Clubman,2017,24293,Red,Gray,1,1,19222
Kia,Optima,2020,55640,Gray,Black,0,2,14988
Maserati,Levante,2021,30972,White,Brown,0,1,41775
Subaru,Forester,2023,4148,Green,Gray,0,1,27000
Volvo,XC90,2021,36858,Black,Unknown,0,1,43361
Kia,Optima,2014,78962,Black,Black,1,2,12495
BMW,2 Series,2016,90179,Silver,Black,0,3,20419
Toyota,Corolla,2014,128302,White,Gray,1,2,10500
BMW,X3,2022,7590,Gray,Brown,0,1,36999
Dodge,Journey,2017,94402,Blue,Black,2,1,9998
Ford,F-150,2019,91274,White,Brown,0,1,29980
Volkswagen,Tiguan,2021,37798,Silver,Black,1,1,22454
Kia,Optima,2020,63028,Gray,Black,0,1,12471
Mercedes-Benz,S-Class,2015,95921,White,Brown,0,2,35999
Mercedes-Benz,E-Class,2022,12705,White,Gray,0,1,46713
Kia,Optima,2014,123058,Black,Gray,3,3,6995
Porsche,718 Cayman,2018,54169,Black,Black,0,2,48919
Hyundai,Elantra,2018,39023,Gray,Black,2,1,12995
Honda,CR-V,2018,44533,Black,Black,0,1,21998
Honda,Accord,2022,18068,Silver,Unknown,0,1,22988
Nissan,Altima,2020,70188,Silver,Black,0,2,18300
Mercedes-Benz,S-Class,2007,148602,Black,Black,0,3,9542
Toyota,Corolla,2023,20235,Black,Black,0,1,19999
Acura,MDX,2020,42610,Silver,Black,0,1,28987
Mercedes-Benz,GLS,2019,58536,Black,Brown,0,2,35991
Ford,Expedition,2020,6530,Black,Black,0,1,50197
Volkswagen,Atlas,2018,68069,Silver,Black,0,4,21998
Ford,Escape,2010,148988,White,Gray,2,4,7495
Toyota,C-HR,2019,70631,Gray,Black,1,2,16220
Dodge,Grand Caravan,2015,152597,White,Black,1,3,5999
Honda,Civic,2022,29703,Silver,Black,1,1,22999
Mercedes-Benz,GLB,2022,27692,Black,Black,0,1,34020
Chevrolet,Equinox,2020,24023,White,Black,0,1,24998
Honda,CR-V,2023,1844,White,Black,0,1,33688
BMW,X3,2022,11987,White,Black,1,1,36999
INFINITI,QX50,2020,16111,Black,Gray,0,1,29998
Mercedes-Benz,GLA,2021,23533,White,Black,0,1,30678
Toyota,Camry,2012,110441,White,Gray,0,5,10880
BMW,X3,2021,31326,Gray,Beige,0,1,30411
Ford,F-150,2018,157394,Gray,Gray,0,3,17995
Ford,Escape,2018,32704,White,Black,0,2,13987
Acura,MDX,2016,109937,White,Unknown,0,3,18998
Honda,Civic,2020,19869,White,Unknown,0,1,20469
Kia,K5,2021,38512,Silver,Black,0,1,25998
Acura,RDX,2014,105118,Black,Black,2,1,16998
Honda,Pilot,2017,81643,White,Unknown,0,1,19495
Volvo,XC40,2021,19237,Gray,Black,0,1,34423
Audi,Q3,2019,63070,Black,Black,0,1,17500
Land,Rover Range Rover Sport,2014,84884,White,White,0,1,22995
Jeep,Wrangler,2016,90149,Blue,Black,0,4,19999
BMW,X5,2022,14078,Gray,Brown,0,1,44997
Lexus,NX,2019,37294,Unknown,Black,0,1,28300
Subaru,Forester,2023,1935,Brown,Black,0,1,32918
Mercedes-Benz,E-Class,2013,34678,Gray,Black,0,2,20998
Volkswagen,Golf GTI,2014,100630,White,Black,0,1,10798
Scion,tC,2015,144366,Gray,Black,0,2,7499
Hyundai,Santa Fe,2020,24134,Gray,Black,0,1,20998
Subaru,Outback,2022,6967,Gray,Gray,0,1,30000
BMW,X1,2015,25104,White,Black,0,3,19998
Subaru,Crosstrek,2024,1535,Blue,Gray,0,1,25992
Jaguar,E-PACE,2019,33270,White,Unknown,0,2,24000
Kia,Optima,2020,103766,Gray,Black,0,2,9950
Nissan,Altima,2020,40172,White,Black,0,1,21991
Mercedes-Benz,CLK,2007,104809,Silver,Black,1,4,8895
Hyundai,Elantra,2020,23960,Gray,Black,0,2,15779
Ram,1500,2020,8924,Black,Black,0,1,33998
BMW,X3,2020,30012,Black,Black,2,1,25991
Toyota,Corolla,2021,61537,Unknown,Black,0,1,17988
Honda,Odyssey,2021,20336,Silver,Gray,1,1,35448
Toyota,Prius Prime,2017,48119,Silver,Black,0,1,23222
Nissan,Sentra,2022,7296,Gray,Black,0,1,18999
Acura,RDX,2013,98716,White,Unknown,0,2,11999
Toyota,Corolla,2021,14875,White,Black,0,2,21998
Toyota,Prius,2016,66828,White,Gray,1,2,20998
Audi,A6,2017,71003,Blue,Brown,1,2,15999
Nissan,Sentra,2020,38340,White,Black,0,2,17400
Chevrolet,Tahoe,2017,63539,Black,Black,1,1,25500
Chevrolet,Silverado 1500,2020,9949,Black,Black,0,1,33988
Honda,Accord,2021,40604,White,Gray,0,2,29998
Toyota,Tacoma,2023,8074,White,Gray,0,1,42991
Land,Rover Range Rover,2015,89338,Black,Black,0,1,24900
Alfa,Romeo Stelvio,2022,65,Black,Black,0,1,35663
Kia,Forte,2021,52646,Red,Black,0,1,16991
Ford,Explorer,2021,47507,Gray,Black,0,1,29998
Volkswagen,Tiguan,2021,25185,White,Black,0,1,21912
Honda,Odyssey,2018,75932,Gray,Gray,1,2,25998
Chevrolet,Colorado,2016,93420,Black,Black,1,2,18991
Mercedes-Benz,GLA,2021,27219,White,Black,0,1,29997
Mercedes-Benz,C-Class,2016,127746,Black,Black,0,2,11990
Chevrolet,Cruze Limited,2016,86047,White,Black,0,2,12998
Hyundai,Elantra,2022,18554,Black,Black,0,2,22998
Mercedes-Benz,C-Class,2018,36871,Blue,Gray,2,3,22998
INFINITI,Q70,2015,77258,White,Brown,0,2,18998
Acura,Integra,2023,3477,Blue,Gray,0,1,34998
Jaguar,F-PACE,2020,33202,Gray,Black,0,1,34998
Nissan,Rogue,2018,62713,Blue,Black,0,2,18998
Audi,A3,2023,2195,Black,Black,0,1,32995
Mercedes-Benz,E-Class,2022,11988,Red,Beige,0,1,43563
Nissan,Sentra,2023,10269,Silver,Black,0,1,19859
Volkswagen,Jetta,2021,37147,Gray,Black,0,1,18782
Chevrolet,Malibu,2020,26610,White,Gray,0,1,20998
Subaru,Forester,2020,50162,Silver,Black,0,1,23998
Kia,K5,2021,34764,White,Black,0,1,22998
Toyota,Prius,2015,125159,Gray,Gray,0,3,13995
Nissan,Altima,2015,46189,Black,Beige,1,1,15998
Toyota,Prius,2022,45722,Black,Black,0,1,22690
Ford,Escape,2017,82219,White,Black,0,1,11245
Jeep,Wrangler,2019,30170,White,Black,0,1,29998
Jeep,Wrangler,2018,51323,Black,Black,0,2,29998
Honda,Civic,2020,36303,Unknown,Unknown,0,1,18995
Lexus,NX,2021,26525,White,Black,0,1,30998
Audi,A3,2015,70811,Black,Black,1,2,14895
Nissan,Sentra,2020,95604,Gray,Black,0,1,13988
Ford,Taurus,2010,167599,White,Gray,0,2,5998
Nissan,Quest,2015,90699,White,Gray,1,2,9995
Mercedes-Benz,GLA,2021,31230,Black,Black,0,1,26933
Honda,Accord,2021,18949,White,Black,0,1,26489
Toyota,Highlander,2012,93113,Silver,Gray,0,1,16998
Hyundai,Tucson,2022,32353,Black,Black,1,1,22998
Subaru,Outback,2023,6283,White,Beige,0,1,35900
Volvo,S90,2022,2304,Black,Black,0,1,42191
BMW,X5,2022,33541,Gray,Beige,0,1,43379
Honda,Accord,2022,20280,White,Unknown,0,1,26994
Chevrolet,Trailblazer,2023,7911,Black,Black,0,1,20989
Toyota,RAV4,2021,36489,Blue,Black,1,1,28994
Dodge,Challenger,2015,85799,Black,Black,4,3,19200
Mercedes-Benz,GLB,2021,18498,Black,Black,0,1,32415
Lexus,UX,2021,12144,White,Brown,0,1,27991
Audi,Q5,2022,8997,Silver,Black,0,1,33956
Ram,1500,2015,100521,Silver,Gray,0,2,22998
Ford,Ranger,2019,69689,Blue,Black,0,2,23400
Chevrolet,Monte Carlo,2006,83089,Silver,Gray,0,5,9500
Mercedes-Benz,E-Class,2011,74911,Gray,Black,0,3,15850
Mercedes-Benz,GLE,2020,55376,White,Black,0,1,36998
Toyota,Corolla,2020,32544,Blue,Black,0,1,19498
Toyota,Tacoma,2019,119342,White,Gray,0,1,20999
Toyota,RAV4,2022,8972,Gray,Black,0,1,32000
Ford,F-150,2010,95812,White,Unknown,0,2,13345
Acura,MDX,2020,21556,White,White,0,1,31795
Volkswagen,Golf,2015,80002,White,Gray,1,3,12995
Audi,A3,2023,1760,Blue,Black,0,1,32995
Toyota,Avalon,2022,35234,Silver,Black,0,1,23899
Chevrolet,Malibu,2022,33071,Gray,Gray,0,2,19998
Ford,F-150,2017,58726,Blue,Gray,0,1,25995
